it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.069	t_0.454	t_1.29	t_2.19	t_3.09	t_4.466	t_6.29	t_7.418	t_9.61	t_12.725	t_14.501	t_15.576	t_18.205	t_21.606	t_22.901	t_25.565	t_29.231	t_32.131	t_35.85	t_37.876	t_39.576	t_43.372	t_46.672	t_50.467	t_54.567	t_57.6	t_59.962	t_61.162	t_63.8	t_67.158	t_70.208	t_74.003	t_79.701	t_83.548	t_84.95	t_88.05	t_90.443	t_92.493	t_96.289	t_99.589	t_103.384	t_109.634	t_113.429	t_117.654	t_123.225	t_127.02	t_129.22	t_131.15	t_134.765	t_138.215	t_142.01
0	-1278.424060609487	-1147.695055357127	-130.72900525235997	1.0	10.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0	140.0
500	-320.63827445938955	-294.6125379390988	-26.025736520290735	1.0	0.13101237408630206	99.99345916115541	95.59426448604061	100.36993754463852	78.22792593570085	59.003701374650674	76.68400243765568	96.66872240761273	89.52067325042539	108.16360584933355	102.26623212093767	106.01167449875665	100.97123811169338	127.12378076825547	125.20660102001371	114.11487770200165	137.7758969924193	100.31006702001272	94.93496114832499	89.58082949049289	139.89906896460838	104.23156355590855	139.16093193706308	144.27463423861454	156.19389009151138	144.4702413993949	134.96991944699394	130.6871525283585	101.890922008952	129.73162052541213	139.67221172823048	122.86678486076471	136.39283201179	124.50334875451507	141.2751910499325	153.73319214705398	132.27153834021087	90.85534589698325	96.03568469175148	103.82592724905942	119.04163078120136	123.51614983867584	81.13496283551247	103.07207783441844	50.16371619154975	61.341569346238515	66.77910985016484	70.0360316486379	96.30993731360934	50.72270773573466	89.78553665119253	77.05248271323663	18.61945519771715
1000	-185.4027891736211	-192.63661260663827	7.233823433017166	1.0	0.015634587241975216	79.87505740596586	81.46582656207372	76.03340763637156	85.88498590653187	89.45449363596774	79.61727666644202	96.40025394282773	88.77803358045468	93.37812376349753	91.8550962708665	101.13948568071842	98.13843124772937	91.62500742077667	125.47270117840912	110.73143000196637	116.63527988157891	100.88122121165792	97.10866328593441	94.34345565516891	139.9959899433759	167.45027420452834	163.0101851588158	145.2946677271525	151.94364603174466	157.20899721088486	144.38763099769486	132.81092456335142	125.48072116530689	135.48234619177424	136.24278769861039	125.83026475963382	127.77708327179054	123.03536304645783	139.03742357592023	165.16547358258234	143.49848713146798	96.17582953559258	97.9346767641785	87.62667124188626	110.66041818642556	92.83969840827258	81.46967178750141	77.0199003433946	55.77356469521317	67.83779259947516	41.428019085309145	52.50995286249367	55.09734290682546	56.64602708146286	74.84682038239869	34.9646060623419	19.425070393808543
1500	-138.446368878204	-166.91920744672373	28.472838568519748	1.0	0.010097010515388022	73.76693525725517	75.01356701401565	74.60893833404327	83.58359504623078	78.74108842969412	74.10148846189205	91.16494613133632	93.56728156561131	88.13896628187032	96.31097938756547	101.33587333396227	102.78944080588204	94.8873514319188	124.01770946329275	107.87411689310693	103.33766858844885	99.91334797957234	83.31507318948091	91.2515800663018	141.7899446764095	162.9986326995188	165.57560349348017	153.97041660255195	147.84459168868483	162.53439480355908	153.5475931545863	134.78557604819392	137.43477260159355	125.70847055329456	129.88309461126897	130.98689220075948	124.08599506053615	120.01211309831118	131.9714302178906	122.17574113469844	124.70510166724921	89.564715127207	80.5744833744245	84.22675351765385	112.08993122815652	85.79400516312818	78.86788609995905	72.37630854831725	61.3336932790715	60.559000164766935	41.77601698761109	35.91472700553918	36.8633204046572	36.52872433481606	51.33508347813445	43.51460835078756	29.208971128151344
2000	-151.13975398658718	-171.98416510860764	20.84441112202047	1.0	0.021121239429033968	81.19819989946058	78.64980610435794	81.30756724377787	74.07910341668247	87.23808385197444	90.48070591237752	89.95609631411936	85.51413405876332	92.71282323884945	93.63939359019798	99.34657376238802	94.25126886650906	96.18018820976789	123.65996109111549	111.70012996718098	102.65461366941946	107.10170608029738	82.69829962882353	94.45645948425269	142.13016972567453	158.04342214325297	167.33959274287196	164.14396885616614	149.36426668131975	160.11625853113088	154.52676222146616	128.65223105870325	130.75979370432202	122.7746108068294	120.01392657042477	131.23901780285374	129.17856076804844	118.74465652723089	129.10573882500202	130.52827541404048	129.56284945863302	92.05719486622743	95.04930630613217	89.34331321135775	112.77499000689494	87.68023342803919	71.85333746170502	62.41397168546295	45.60963854444288	49.94416662517967	30.927992140121518	31.89025883631497	36.93950775414745	33.82885669480772	39.76253311911201	36.632486381437346	20.679197325599056
2500	-153.4888972044025	-164.16548883005947	10.676591625656979	1.0	0.0152168224513254	70.0486510936372	69.02984487755944	71.65687773382074	76.8426527783127	86.73654940134548	87.03088316415445	90.15989097624308	85.67102713553336	103.51721763116358	96.98995282475866	95.27575433938169	92.76039550406905	92.74991704839535	123.66699009386863	114.05088079815707	108.59861399962463	98.63482037888332	86.57843433367273	86.66036142625651	148.15248108916245	154.0637433149173	161.65268082600542	155.3897709374309	148.61462076126276	160.66099338836253	152.15168910684682	127.16281306761502	140.34559759942903	144.11973465960574	119.01281467517009	112.52083029168271	132.80963405895554	115.41303326119746	129.1241645378511	148.78772884621003	137.66204781083843	103.21595849952195	81.00877004910204	84.87897973826203	118.93294712387497	91.65817840305972	71.75339677658955	64.87829229683817	53.7459133263905	54.70912499344703	36.21406577745029	30.225442172582497	49.66804429344127	51.134575425471944	48.83528939617166	38.79227130714918	14.426937300119016
3000	-135.33256358999617	-150.14554836264108	14.812984772644912	1.0	0.017418864357762798	68.89818171411541	69.13731865362692	74.61782937208284	80.91309112373763	80.52980396041029	74.4233221314876	92.6004671288903	82.23213344530586	95.93047368939486	95.66271260763826	99.73798968427872	96.8585198958378	94.28657575806469	125.53448684529202	117.72029001139808	108.88078341596825	98.11334480419406	80.40786349600121	83.14695164272052	156.4815545264128	169.42129701681995	170.69210099204676	165.32513425307928	146.67762161187727	152.06785680923358	157.9137400938924	131.58213715244705	147.62215830876858	127.76521039858409	127.08493777156144	122.71005265652076	128.53614047311433	128.34025024111068	138.75349991548276	115.86132621107137	114.00461582238687	92.23925980370953	87.6891073862102	86.75149874847241	109.69235354083824	88.34742958230206	77.8340066811766	71.61313492418864	69.04791176980874	62.426313638149985	31.084906132943388	37.51281561216145	37.65876383523355	36.224762847466465	44.95120510982956	35.82276174238318	13.690306186056283
3500	-140.1552872325852	-160.0945269507108	19.939239718125577	1.0	0.011773650947726465	75.95700181610488	77.43227383091276	77.01809382300243	80.84313077946577	79.07933447231605	75.11542588035995	92.38372511418955	84.05531062477672	87.10107864057848	92.08922796025571	99.76486581011838	98.134875008123	100.89081459266966	124.54637519223104	117.79176594195283	109.46714604543078	106.19329611851762	95.15864163682303	90.48188287665201	157.0489610251469	147.70154917198366	166.11452173112238	165.23861313448225	148.0502621051375	143.83874889399652	159.09083528056738	130.2488688608922	111.97211496197008	103.18361024505725	120.54536172874322	115.95566152551002	129.09696496361423	117.75862976965357	140.60823174827513	116.4582333858723	121.97423664952875	88.22444243406933	74.78413923584722	81.59590309258938	110.98665946775893	92.89904990630865	77.2639005684656	71.62767027084433	61.58229345144639	60.54258458134296	38.22806641538129	42.83868029243865	37.786768622097476	37.41562462209935	44.12334197678928	28.960895848119456	17.040649319350763
4000	-147.21437272097018	-164.19758048300716	16.983207762036997	1.0	0.016896682847517584	70.50631093281791	69.63741871669754	71.24461000305396	77.47055091292758	72.68618245178513	75.35756927027137	90.79997497804544	90.11808577051637	100.15985313046252	95.41599894235667	101.84176608807178	96.03014745630247	103.91528679296209	129.15997838050498	107.78486903070839	98.79327455814905	103.53296496675256	86.96959964462704	90.98403550411872	164.54965700049823	154.91234499881062	169.02419323898525	155.10337327281977	149.50891402434794	153.56260675160394	145.68305952672117	124.98936529367046	116.32885433584805	116.7749503809639	125.80304385086924	129.5198453766459	131.53436379777975	126.29812612561064	134.9652397120504	121.81360150791797	109.2825280666201	83.25916575665391	73.15579009711216	83.22348413512337	106.81538207340445	88.7365645872961	69.62599498263415	72.78826620689023	57.371952656896674	54.64703907044634	35.60903375221348	35.88799452332046	33.42428544092236	34.096478845272685	45.15955359732378	35.999918477551624	16.082569845813783
4500	-145.56502389084392	-154.33531469346363	8.770290802619707	1.0	0.02445322203835925	74.64946588885928	75.12834963317206	71.64941853032684	78.08442444028228	77.18568914686281	70.55469649920431	91.09013036488622	88.92944183275608	84.58331848729907	98.99414564274	106.81299783424456	94.64845821993242	89.66323667382663	122.58934099780919	107.26757414390505	85.94786933319128	88.71760637572764	83.58823793159004	88.54821927694522	155.4122708482565	154.35396849398498	159.98129219355002	162.05957923047373	151.46467574826625	153.4516796359912	158.9215241707118	130.9143110739584	125.39930323918736	112.28315068947234	120.00401151458229	123.88439982557956	128.0042001942778	128.30375369480637	134.3292906826471	142.70277385835357	126.79436208811572	87.84886018257254	75.9151637471285	87.96304480110703	109.96712442410623	94.09553853761021	69.34326952087012	73.96387273102415	60.57344017436755	62.620789833054396	37.31744266389248	32.25532816394369	36.91210730189841	33.96106543038937	39.39574782555375	31.696451616490418	11.648607746200296
