it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.069	t_0.454	t_1.29	t_2.19	t_3.09	t_4.466	t_6.29	t_7.43	t_9.622	t_12.725	t_14.524	t_15.599	t_18.205	t_21.642	t_22.937	t_25.565	t_29.279	t_32.179	t_35.85	t_37.936	t_39.636	t_43.443	t_46.743	t_50.55	t_54.65	t_57.6	t_60.058	t_61.258	t_63.8	t_67.265	t_70.315	t_74.122	t_79.872	t_83.679	t_85.029	t_88.05	t_90.586	t_92.636	t_96.444	t_99.744	t_103.551	t_109.801	t_113.608	t_118.023	t_123.415	t_127.2	t_129.422	t_131.172	t_134.98	t_138.43	t_142.237
0	-2744.9974507597913	-2612.219610193415	-132.777840566376	1.0	10.777037341761492	219.0	209.39609840391915	219.0	218.3173047553997	211.92434636847423	228.91008824093214	225.72634814801438	211.31515476209324	219.0	219.0	213.67365943736712	219.0	219.0	219.0	219.0	228.19967142570565	219.0	219.0	219.0	219.0	219.0	219.0	219.0	213.1619795667744	219.04873468742971	219.0	216.6063666719641	219.0	219.0	219.45558168410722	219.0	219.0	219.0	219.2964031359181	222.12083323576408	219.0	210.54182990910994	219.0	219.0	216.47866486015482	219.0	219.0	210.37908525538583	219.0	219.0	227.05474400348785	219.0	219.0	219.0	219.0	219.0	219.0
500	-664.0194382184645	-564.0829032366297	-99.93653498183487	1.0	2.3486629985128396	285.6317421621685	144.21480429294803	251.6626061029675	192.66312879256114	153.8103729093305	173.34662994861702	191.8020399799883	175.9304604070605	144.04580889750864	193.54420901886425	188.2001415633685	181.71153497328356	144.2003588391343	211.07823498307937	154.70744039828702	140.02228326252913	189.58989097653426	106.91398633864239	115.77576385290907	229.157054978853	164.8812130346742	254.37503754304225	207.4216650795608	169.081728307633	218.76528085363245	219.0583807915679	213.3879337510201	106.29210303871763	154.84471567181376	176.66259792137365	200.46570637476424	204.72356968030425	192.1669792153347	222.80787906506305	112.65420729821423	180.24192757043085	120.16139060574707	130.18762614488344	126.64530948594125	202.02982194651796	137.5770929650132	90.09755541481968	112.70026346047663	86.4794023469564	78.56498074512956	93.69694858418634	42.48648836784676	142.77336309384776	55.156932379026095	114.22340241988165	85.90571929047711	42.07190415001372
1000	-361.051385402878	-254.75938364247622	-106.29200176040176	1.0	2.436227849135455	357.910821881545	134.4691550710304	146.3918411979484	129.41318116007886	126.76401967625561	139.8053674428187	162.09890197979794	158.97551614586953	123.12087384161926	178.70653681913743	189.27657620676598	183.76642520631782	145.51135325946456	208.5296772927996	166.22728060964948	130.11663017675653	171.6003784120321	95.50362795676848	105.6000767431405	229.97211378912024	145.9409528641483	239.34113035260475	231.25937101922003	206.87933685722726	218.64053167229858	208.20563192994723	190.0143732369675	105.16359470997564	109.48517606480561	174.82061943596858	196.04012325132854	202.42059592201187	187.08982506588043	233.83206047237542	80.25475552349685	153.9098377708163	101.29271491895234	103.6280481517215	129.01584200708703	181.78003866903532	132.00645225515092	80.10921512089647	79.88736207658991	37.29091640232217	41.819379210622664	49.247029417533035	22.397241318833643	66.56484372920647	37.66421138858941	47.29509597156925	41.93649806335864	10.792794476849265
1500	-258.6286767098582	-230.68854698710123	-27.940129722756996	1.0	0.10215299102831815	113.67336108677848	112.90364889436161	125.55920884498877	100.35586850864753	115.57598326810077	136.6658912146429	157.74698259969463	167.40267311146098	139.4595047751862	166.34526762038809	188.1807742644378	168.90076141139667	145.6580345234456	219.0591039329774	174.46582243214436	154.57072556679609	169.69220131230048	107.05727239630295	106.61357523041318	235.6468869273788	210.0465765645048	250.30837175420385	229.7495104392633	182.43325493121554	219.7914350390876	222.1154914014071	191.97218522839856	108.3958116998835	90.91931816910554	168.10249374976524	190.46735327331768	187.4519041755331	184.66737625191683	214.78941491186538	102.5997383808887	145.28469707002603	85.15254686479497	91.63789692581597	129.66164591713738	182.65929098439545	124.89517575021587	89.08807015737032	82.50827986970044	20.52264611294066	47.345739229175656	44.759792354833735	21.74120408724977	23.257265093206268	25.465691255956198	35.270698178454154	27.66779227250106	6.0010495004009865
2000	-244.15862361269242	-217.25535836372808	-26.903265248964345	1.0	0.13607723587757237	103.62632728918673	96.61355290050984	102.69668529945132	87.70373007010022	141.64867829258134	136.92843455857337	163.6406693361281	150.19786411235228	125.78225591292991	174.13262286366017	194.798971494238	165.73458405851736	147.1049122169079	216.59493422293505	186.4966525606594	135.9307376003281	164.34099586006053	108.99954046116244	99.38410964336614	226.69755954124292	229.60300815367543	251.89978040767875	230.2794137574805	193.1293521777628	220.85697345098387	209.20890495078845	189.01422193042794	85.004584739946	104.4706065873581	171.17705938504986	195.59800788316304	199.24122641668487	191.42125142338293	222.95299687654696	131.2397071035281	138.75138920222432	93.70411059664342	90.85565385687646	110.40862587427154	182.17564378363355	121.03246368860653	81.9286977523715	79.24975237630504	30.843501121713363	43.20550593734637	38.386965048316576	23.72382058832426	21.36454135417378	20.62324788209392	31.886212907037155	24.6742361581669	3.9058985483420527
2500	-228.8993591619816	-213.01160014461252	-15.887759017369092	1.0	0.05770234474408802	96.19719267864222	94.86743323196026	101.28203315220412	99.39973049149701	119.05684717351882	146.9071344947012	150.75869343939033	163.3563373580153	136.9033025515775	169.13345047209	188.78472077411996	174.30317361389842	163.46282842357175	218.26782010891722	202.83474878188406	149.99192807084324	164.8562214870235	91.01450783273543	94.61191681607117	222.14037142656497	196.69795402280732	250.18241878069927	224.68347466333728	184.15546707348312	228.23458275384203	218.82466345570327	196.60946058153502	93.83159695599468	113.71489013203477	167.2066977831438	199.48411676949289	193.8395793686909	181.89058284225197	216.12624500010148	134.61410256755164	132.20155587488716	100.31465294443774	94.26242023165253	106.53504229224085	171.50342292079276	138.07687043336213	83.55729837572343	86.8105176735849	29.298363156547445	40.69491210271285	29.8339321283668	19.502237562361145	19.051405496357077	18.716963371316194	34.50697444333659	18.339339550181727	4.211792719998618
3000	-215.64225605151938	-198.77687853642226	-16.865377515097137	1.0	0.061016034051283356	99.88492591960762	98.95046743705984	101.87343736400379	79.85125637601003	100.55851127282772	121.20354847981017	142.18079126270686	157.52396136141468	145.65823858766367	177.56172995038304	184.07525703706543	177.08747643228628	140.92334758816514	206.60068564742755	175.71403322654868	182.3577922097215	162.6122059797339	82.55417237620014	91.66933851926049	227.06239991967692	215.27071627039794	228.58919006663274	228.34597630401197	199.15550691840826	272.332142692148	216.34619624057387	208.18016711319146	98.82601719022092	111.23745951544697	171.92805451798472	195.14237458574465	196.13045192339158	197.8813362599169	211.8350690974273	114.05771592777245	144.49589449582803	101.46695864102077	94.94043540066384	116.3246406366103	180.97799356803233	125.80944328760673	82.69299633753675	81.9370190625342	34.78267977763923	39.29410170000159	29.586610660352136	19.968642208317082	17.207826228161725	18.200757211483378	29.35601406299544	19.650003614211908	5.06907750837504
3500	-233.69860417998476	-204.4974364225187	-29.20116775746607	1.0	0.163086663432582	101.89062553145281	107.78700121565593	132.84273694607126	108.40262593343282	139.8716875958237	140.15767915277107	148.05323048734607	153.61480451741312	107.90036922695494	172.8317948320424	188.28095695642384	178.2861951888791	149.03124655889977	205.7621499745579	184.24862850614346	190.9743568142267	192.89596960278726	82.02989237953092	93.6718059802316	255.12972102660726	169.05926160195443	241.3094958515672	226.9813122077099	191.0726136928223	261.81484172161043	217.0377082362325	201.071205874505	106.29321056171639	145.30045849318643	172.33037665764104	183.42798979685102	193.012103014942	187.03218725965223	220.7050786159089	114.93795627132967	153.0292552340136	96.41886434097805	95.36819379873907	121.98360340887007	179.0412463669099	117.93633659695398	86.58493208956969	86.73790523620542	28.590498405044542	34.859880055790136	48.95057292355331	21.785458573261717	26.099077678454982	24.330868949836166	34.19407063076779	18.89273809785223	10.33449936986375
4000	-219.2129417599042	-198.41948541469424	-20.79345634520997	1.0	0.07296408469029957	141.64716366637737	128.80091568317872	141.28963801728514	111.39233744601992	110.82376942531057	145.94521387889193	150.09073062634036	157.79228387478335	153.84415265395685	181.3896182524877	194.91997770097453	180.38755927947736	139.83535398337568	214.09099779056268	191.88021965088797	164.98379523993748	181.0083485014576	95.01689766528494	95.81240272222924	234.74142595140816	175.99114145745463	254.8806986141671	239.5852752606484	208.73784433560633	277.90503326735836	219.72617857609254	195.28190579308327	106.1527979054701	114.170555797248	159.2390433695105	195.70816026555605	188.71164688739603	190.58600552364018	224.19045857729782	141.11907398938143	148.21487521324102	93.8377977921472	96.83198237531558	120.11982245817553	172.85168446432473	129.50197674816246	82.85543180721626	83.05570666457366	32.302697593786235	39.31395302205678	47.23486093879281	21.31151983207973	23.77210420743256	21.469105184300098	25.27002460580573	18.94393994096704	9.795389338605897
4500	-215.11583575226348	-200.070414847714	-15.045420904549463	1.0	0.04835439009594889	107.08766939921054	105.22287750119028	120.59211995994276	87.3702899728939	113.21184871934057	134.33898925835052	161.0295505236334	168.43087176361507	145.89749843038115	166.63474648445833	186.77400131561882	176.1415470665518	156.381319521206	207.81183208970066	174.95673473980855	171.07350718894634	171.35793321058708	92.59064114382821	95.1201370244358	215.76742048218688	234.21310569911708	267.85984896072716	227.376037840572	201.69540929119	267.89619721722727	217.4197968250945	189.64895004992246	79.0022999139114	135.48008265524908	160.97519925884978	194.34887345788263	200.71823792513976	183.80160192079475	217.81592498910447	124.02048887231501	150.05483107140896	99.50067944686472	103.70086495809872	124.13829584648073	173.01123613008505	132.61691218194184	80.43638992993814	79.6526742034632	29.82575733943024	40.25666428877953	32.04905415106627	27.01965660138785	23.343630044483717	23.077725124037556	27.307652025642568	16.56351158657677	4.905722631999962
