"","stg","mid_age","metric","diversity"
"1",36,140.95,"RT_genus",2
"2",36,140.95,"BC_genus",NA
"3",36,140.95,"SIB_genus",2
"4",36,140.95,"RT_species",2
"5",36,140.95,"BC_species",NA
"6",36,140.95,"SIB_species",2
"7",36,140.95,"RT_genus_sqs",1
"8",36,140.95,"BC_genus_sqs",NA
"9",36,140.95,"SIB_genus_sqs",1
"10",36,140.95,"RT_species_sqs",1
"11",36,140.95,"BC_species_sqs",NA
"12",36,140.95,"SIB_species_sqs",1
"13",37,130.7,"RT_genus",24
"14",37,130.7,"BC_genus",0
"15",37,130.7,"SIB_genus",24
"16",37,130.7,"RT_species",11
"17",37,130.7,"BC_species",0
"18",37,130.7,"SIB_species",11
"19",37,130.7,"RT_genus_sqs",6.352
"20",37,130.7,"BC_genus_sqs",0
"21",37,130.7,"SIB_genus_sqs",6.352
"22",37,130.7,"RT_species_sqs",3.206
"23",37,130.7,"BC_species_sqs",0
"24",37,130.7,"SIB_species_sqs",3.206
"25",38,118.5,"RT_genus",59
"26",38,118.5,"BC_genus",18
"27",38,118.5,"SIB_genus",51
"28",38,118.5,"RT_species",31
"29",38,118.5,"BC_species",6
"30",38,118.5,"SIB_species",30
"31",38,118.5,"RT_genus_sqs",17.317
"32",38,118.5,"BC_genus_sqs",1.998
"33",38,118.5,"SIB_genus_sqs",16.641
"34",38,118.5,"RT_species_sqs",12.202
"35",38,118.5,"BC_species_sqs",0.971
"36",38,118.5,"SIB_species_sqs",12.126
"37",39,105.8,"RT_genus",31
"38",39,105.8,"BC_genus",31
"39",39,105.8,"SIB_genus",0
"40",39,105.8,"RT_species",6
"41",39,105.8,"BC_species",6
"42",39,105.8,"SIB_species",0
"43",39,105.8,"RT_genus_sqs",3.449
"44",39,105.8,"BC_genus_sqs",3.449
"45",39,105.8,"SIB_genus_sqs",0
"46",39,105.8,"RT_species_sqs",0.452
"47",39,105.8,"BC_species_sqs",0.452
"48",39,105.8,"SIB_species_sqs",0
"49",40,96.55,"RT_genus",31
"50",40,96.55,"BC_genus",31
"51",40,96.55,"SIB_genus",0
"52",40,96.55,"RT_species",6
"53",40,96.55,"BC_species",6
"54",40,96.55,"SIB_species",0
"55",40,96.55,"RT_genus_sqs",3.449
"56",40,96.55,"BC_genus_sqs",3.449
"57",40,96.55,"SIB_genus_sqs",0
"58",40,96.55,"RT_species_sqs",0.452
"59",40,96.55,"BC_species_sqs",0.452
"60",40,96.55,"SIB_species_sqs",0
"61",41,88.5,"RT_genus",218
"62",41,88.5,"BC_genus",31
"63",41,88.5,"SIB_genus",210
"64",41,88.5,"RT_species",151
"65",41,88.5,"BC_species",6
"66",41,88.5,"SIB_species",151
"67",41,88.5,"RT_genus_sqs",40.37
"68",41,88.5,"BC_genus_sqs",3.449
"69",41,88.5,"SIB_genus_sqs",38.879
"70",41,88.5,"RT_species_sqs",26.766
"71",41,88.5,"BC_species_sqs",0.452
"72",41,88.5,"SIB_species_sqs",26.753
"73",42,77.05,"RT_genus",67
"74",42,77.05,"BC_genus",48
"75",42,77.05,"SIB_genus",34
"76",42,77.05,"RT_species",22
"77",42,77.05,"BC_species",13
"78",42,77.05,"SIB_species",15
"79",42,77.05,"RT_genus_sqs",20.806
"80",42,77.05,"BC_genus_sqs",4.974
