stg,start_age,speciesRT,speciesBC,speciesSIB,run,genusRT,genusBC,genusSIB
"(0.0042,0.0082]",139.8,14,8,7,1,14,6,8
"(0.0082,0.0117]",132.9,17,13,4,1,18,14,4
"(0.0117,0.126]",129.4,50,17,47,1,61,18,58
"(0.126,0.781]",125,53,43,35,1,71,54,49
"(0.781,1.8]",113,56,47,28,1,75,61,42
"(1.8,2.58]",100.5,64,55,33,1,90,75,45
"(2.58,3.6]",93.9,114,60,99,1,156,86,131
"(3.6,5.33]",89.8,145,100,123,1,207,144,177
"(5.33,7.25]",86.3,162,124,118,1,223,185,155
"(7.25,11.6]",83.6,193,143,149,1,279,206,218
"(11.6,13.8]",72.1,207,155,151,1,290,234,206
"(13.8,16]",66,221,186,160,1,324,266,243
"(16,20.4]",61.6,231,192,187,1,338,286,276
"(20.4,23]",59.2,191,177,138,1,293,273,210
"(23,28.1]",56,176,137,124,1,274,228,178
"(28.1,33.9]",47.8,156,123,103,1,252,216,155
"(33.9,37.8]",41.2,205,103,174,1,328,194,273
"(37.8,41.2]",37.8,227,143,177,1,351,259,262
"(41.2,47.8]",33.9,252,182,214,1,391,302,328
"(47.8,56]",28.1,269,166,254,1,385,277,341
"(56,59.2]",23.03,188,113,170,1,281,199,228
"(59.2,61.6]",20.44,111,105,60,1,194,182,68
"(61.6,66]",15.97,149,87,128,1,240,171,191
"(66,72.1]",13.82,221,72,206,1,313,133,279
"(72.1,83.6]",11.63,240,108,224,1,345,190,307
"(83.6,86.3]",7.246,151,111,117,1,240,193,165
"(86.3,89.8]",5.333,106,78,68,1,182,151,105
"(89.8,93.9]",3.6,138,89,113,1,214,157,159
"(93.9,100]",2.58,181,92,174,1,255,159,238
"(100,113]",1.8,92,68,88,1,143,118,127
"(113,125]",0.781,42,28,39,1,73,61,58
"(125,129]",0.126,20,17,12,1,42,35,20
"(129,133]",0.0117,16,11,12,1,33,27,25
"(133,140]",0.0082,30,7,28,1,43,17,41
"(140,155]",0.0042,2,2,2,1,2,2,2
"(0.0042,0.0082]",139.8,16,10,7,2,16,11,6
"(0.0082,0.0117]",132.9,17,15,2,2,18,15,3
"(0.0117,0.126]",129.4,50,17,47,2,63,18,60
"(0.126,0.781]",125,52,43,36,2,74,56,52
"(0.781,1.8]",113,58,47,33,2,82,66,45
"(1.8,2.58]",100.5,65,57,30,2,92,81,45
"(2.58,3.6]",93.9,114,60,96,2,157,87,135
"(3.6,5.33]",89.8,150,104,126,2,201,145,170
"(5.33,7.25]",86.3,166,126,125,2,228,179,158
"(7.25,11.6]",83.6,187,140,143,2,269,202,210
"(11.6,13.8]",72.1,202,156,147,2,287,233,200
"(13.8,16]",66,221,182,165,2,326,267,246
"(16,20.4]",61.6,233,191,189,2,344,285,278
"(20.4,23]",59.2,195,181,139,2,297,283,205
"(23,28.1]",56,169,138,118,2,274,228,180
"(28.1,33.9]",47.8,161,120,106,2,253,213,159
"(33.9,37.8]",41.2,205,104,172,2,331,198,278
"(37.8,41.2]",37.8,237,147,189,2,356,262,269
"(41.2,47.8]",33.9,247,183,208,2,381,300,313
"(47.8,56]",28.1,270,167,256,2,387,275,344
"(56,59.2]",23.03,185,112,167,2,284,199,232
"(59.2,61.6]",20.44,113,104,58,2,186,183,66
"(61.6,66]",15.97,150,89,128,2,240,165,192
"(66,72.1]",13.82,220,71,205,2,319,140,285
"(72.1,83.6]",11.63,240,108,224,2,341,189,304
"(83.6,86.3]",7.246,154,114,119,2,235,185,167
"(86.3,89.8]",5.333,102,78,66,2,185,151,106
"(89.8,93.9]",3.6,139,85,115,2,215,160,158
"(93.9,100]",2.58,181,93,174,2,254,158,237
"(100,113]",1.8,92,68,88,2,143,118,127
"(113,125]",0.781,38,28,35,2,74,61,60
"(125,129]",0.126,23,16,16,2,42,36,21
"(129,133]",0.0117,16,11,12,2,34,27,26
"(133,140]",0.0082,30,7,28,2,43,18,41
"(140,155]",0.0042,2,2,2,2,2,2,2
