stg,mid_age,run,metric,diversity
70,140.4,1,speciesRT,NA
70,140.4,1,speciesBC,NA
70,140.4,1,speciesSIB,NA
70,140.4,1,genusRT,21.91
70,140.4,1,genusBC,0.27
70,140.4,1,genusSIB,21.64
71,135.15,1,speciesRT,1.17
71,135.15,1,speciesBC,0.17
71,135.15,1,speciesSIB,1
71,135.15,1,genusRT,6.06
71,135.15,1,genusBC,5.55
71,135.15,1,genusSIB,1
72,129.55,1,speciesRT,5.96
72,129.55,1,speciesBC,0.7
72,129.55,1,speciesSIB,5.67
72,129.55,1,genusRT,13.45
72,129.55,1,genusBC,5.5
72,129.55,1,genusSIB,9.69
73,123.95,1,speciesRT,2.61
73,123.95,1,speciesBC,1.89
73,123.95,1,speciesSIB,1
73,123.95,1,genusRT,8.39
73,123.95,1,genusBC,7.87
73,123.95,1,genusSIB,1
74,117.3,1,speciesRT,8.13
74,117.3,1,speciesBC,1.94
74,117.3,1,speciesSIB,7.07
74,117.3,1,genusRT,18.46
74,117.3,1,genusBC,7.88
74,117.3,1,genusSIB,12.94
75,106.85,1,speciesRT,12.44
75,106.85,1,speciesBC,2.96
75,106.85,1,speciesSIB,11.23
75,106.85,1,genusRT,23.16
75,106.85,1,genusBC,10.9
75,106.85,1,genusSIB,15.55
76,97.2,1,speciesRT,18.14
76,97.2,1,speciesBC,3.25
76,97.2,1,speciesSIB,16.7
76,97.2,1,genusRT,31.93
76,97.2,1,genusBC,11.35
76,97.2,1,genusSIB,24.21
77,91.645,1,speciesRT,14.68
77,91.645,1,speciesBC,5.16
77,91.645,1,speciesSIB,12.44
77,91.645,1,genusRT,29.19
77,91.645,1,genusBC,14.82
77,91.645,1,genusSIB,19.87
78,87.545,1,speciesRT,25.25
78,87.545,1,speciesBC,5.78
78,87.545,1,speciesSIB,23.26
78,87.545,1,genusRT,41.32
78,87.545,1,genusBC,15.87
78,87.545,1,genusSIB,32.01
79,84.675,1,speciesRT,7.35
79,84.675,1,speciesBC,7.35
79,84.675,1,speciesSIB,0
79,84.675,1,genusRT,18.25
79,84.675,1,genusBC,18.25
79,84.675,1,genusSIB,0
80,77.91,1,speciesRT,23.08
80,77.91,1,speciesBC,7.35
80,77.91,1,speciesSIB,20.26
80,77.91,1,genusRT,40.49
80,77.91,1,genusBC,18.25
80,77.91,1,genusSIB,30.83
81,69.105,1,speciesRT,22.87
81,69.105,1,speciesBC,6.96
81,69.105,1,speciesSIB,21.27
81,69.105,1,genusRT,39.74
81,69.105,1,genusBC,17.63
81,69.105,1,genusSIB,31.94
82,63.85,1,speciesRT,24.3
82,63.85,1,speciesBC,2.78
82,63.85,1,speciesSIB,23.81
82,63.85,1,genusRT,43.18
82,63.85,1,genusBC,12.75
