"","stg","mid_age","metric","diversity"
"1",70,140.4,"RT_genus",NA
"2",70,140.4,"BC_genus",NA
"3",70,140.4,"SIB_genus",NA
"4",70,140.4,"RT_species",NA
"5",70,140.4,"BC_species",NA
"6",70,140.4,"SIB_species",NA
"7",70,140.4,"RT_genus_sqs",NA
"8",70,140.4,"BC_genus_sqs",NA
"9",70,140.4,"SIB_genus_sqs",NA
"10",70,140.4,"RT_species_sqs",NA
"11",70,140.4,"BC_species_sqs",NA
"12",70,140.4,"SIB_species_sqs",NA
"13",71,135.15,"RT_genus",NA
"14",71,135.15,"BC_genus",NA
"15",71,135.15,"SIB_genus",NA
"16",71,135.15,"RT_species",NA
"17",71,135.15,"BC_species",NA
"18",71,135.15,"SIB_species",NA
"19",71,135.15,"RT_genus_sqs",NA
"20",71,135.15,"BC_genus_sqs",NA
"21",71,135.15,"SIB_genus_sqs",NA
"22",71,135.15,"RT_species_sqs",NA
"23",71,135.15,"BC_species_sqs",NA
"24",71,135.15,"SIB_species_sqs",NA
"25",72,129.55,"RT_genus",24
"26",72,129.55,"BC_genus",NA
"27",72,129.55,"SIB_genus",24
"28",72,129.55,"RT_species",11
"29",72,129.55,"BC_species",NA
"30",72,129.55,"SIB_species",11
"31",72,129.55,"RT_genus_sqs",11.885
"32",72,129.55,"BC_genus_sqs",NA
"33",72,129.55,"SIB_genus_sqs",11.885
"34",72,129.55,"RT_species_sqs",6.834
"35",72,129.55,"BC_species_sqs",NA
"36",72,129.55,"SIB_species_sqs",6.834
"37",73,123.95,"RT_genus",10
"38",73,123.95,"BC_genus",10
"39",73,123.95,"SIB_genus",0
"40",73,123.95,"RT_species",1
"41",73,123.95,"BC_species",1
"42",73,123.95,"SIB_species",0
"43",73,123.95,"RT_genus_sqs",1.14
"44",73,123.95,"BC_genus_sqs",1.14
"45",73,123.95,"SIB_genus_sqs",0
"46",73,123.95,"RT_species_sqs",0.013
"47",73,123.95,"BC_species_sqs",0.013
"48",73,123.95,"SIB_species_sqs",0
"49",74,117.3,"RT_genus",10
"50",74,117.3,"BC_genus",10
"51",74,117.3,"SIB_genus",0
"52",74,117.3,"RT_species",1
"53",74,117.3,"BC_species",1
"54",74,117.3,"SIB_species",0
"55",74,117.3,"RT_genus_sqs",1.14
"56",74,117.3,"BC_genus_sqs",1.14
"57",74,117.3,"SIB_genus_sqs",0
"58",74,117.3,"RT_species_sqs",0.013
"59",74,117.3,"BC_species_sqs",0.013
"60",74,117.3,"SIB_species_sqs",0
"61",75,106.85,"RT_genus",10
"62",75,106.85,"BC_genus",10
"63",75,106.85,"SIB_genus",0
"64",75,106.85,"RT_species",1
"65",75,106.85,"BC_species",1
"66",75,106.85,"SIB_species",0
"67",75,106.85,"RT_genus_sqs",1.14
"68",75,106.85,"BC_genus_sqs",1.14
"69",75,106.85,"SIB_genus_sqs",0
"70",75,106.85,"RT_species_sqs",0.013
"71",75,106.85,"BC_species_sqs",0.013
"72",75,106.85,"SIB_species_sqs",0
"73",76,97.2,"RT_genus",10
"74",76,97.2,"BC_genus",10
"75",76,97.2,"SIB_genus",0
"76",76,97.2,"RT_species",1
"77",76,97.2,"BC_species",1
"78",76,97.2,"SIB_species",0
"79",76,97.2,"RT_genus_sqs",1.14
"80",76,97.2,"BC_genus_sqs",1.14
"81",76,97.2,"SIB_genus_sqs",0
"82",76,97.2,"RT_species_sqs",0.013
"83",76,97.2,"BC_species_sqs",0.013
"84",76,97.2,"SIB_species_sqs",0
"85",77,91.645,"RT_genus",155
"86",77,91.645,"BC_genus",10
"87",77,91.645,"SIB_genus",154
"88",77,91.645,"RT_species",111
"89",77,91.645,"BC_species",1
"90",77,91.645,"SIB_species",111
"91",77,91.645,"RT_genus_sqs",21.939
"92",77,91.645,"BC_genus_sqs",1.14
"93",77,91.645,"SIB_genus_sqs",21.096
"94",77,91.645,"RT_species_sqs",13.799
"95",77,91.645,"BC_species_sqs",0.013
"96",77,91.645,"SIB_species_sqs",13.799
"97",78,87.545,"RT_genus",27
"98",78,87.545,"BC_genus",26
"99",78,87.545,"SIB_genus",7
"100",78,87.545,"RT_species",7
"101",78,87.545,"BC_species",6
"102",78,87.545,"SIB_species",5
"103",78,87.545,"RT_genus_sqs",3.738
