it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.069	t_0.454	t_1.29	t_2.19	t_3.09	t_4.466	t_6.29	t_7.418	t_9.61	t_12.725	t_14.5	t_15.575	t_18.205	t_21.605	t_22.9	t_25.565	t_29.23	t_32.13	t_35.85	t_37.875	t_39.575	t_43.37	t_46.67	t_50.465	t_54.565	t_57.6	t_59.96	t_61.16	t_63.8	t_67.155	t_70.205	t_73.999	t_79.694	t_83.544	t_84.95	t_88.05	t_90.439	t_92.489	t_96.284	t_99.584	t_103.379	t_109.629	t_113.424	t_117.643	t_123.219	t_127.014	t_129.214	t_131.15	t_134.759	t_138.209	t_142.004
0	-1329.279971064432	-1198.5136179083274	-130.7663531561045	1.0	10.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0	143.0
5500	-397.0608000370641	-385.43318439466304	-11.627615642401032	1.0	0.056750759376480574	104.12408969311876	94.92227192428966	95.66473863393094	107.90655848101919	105.15371508740095	97.71272835814666	106.13256767488917	84.58376516974408	79.66543040891885	112.02307152657853	130.5716982729676	109.04801565612654	113.46760057915156	127.30159975316036	131.3452824970997	135.1801997470394	126.30995486648928	87.35383507083128	89.96572455595573	148.18440734858015	168.47846786572254	137.725159967589	142.92639601896403	146.4462334892416	141.73993709098352	144.25505418853638	149.7831514614142	113.0847767870247	113.05464735394709	133.14384048488256	120.82113982359809	131.16650019595235	128.29993579063995	136.51513982793765	150.62346112012582	133.87288337432508	112.26794395492021	95.65991165282546	92.12166334706123	128.14281524803485	96.64612234545763	95.80105001697933	102.20358666465914	126.97917648080914	67.7846572997307	68.48464716236643	82.39160395465824	84.19716641334712	75.84061328630493	74.00275187522459	65.15330612530755	27.909832321000	-206.74215142284436	-214.49215464713427	7.7500032242899	1.0	0.027319205029242077	77.47623246879326	76.54929939291013	76.62722105545281	75.26292417604667	79.47313298710776	89.35207070440848	88.84805144149465	88.49331360876491	83.06794815609982	92.10281925403515	107.81018404073237	106.55859891075167	96.80103045679179	125.95133540558464	116.32778275127562	95.13992506214898	88.07372666599882	93.28869868348596	89.50521376957418	145.92363597512673	138.2239417520349	142.86812601442944	146.99563053614725	168.82828402973175	145.0817716504094	132.93021942385704	140.02411884908548	103.906526085982	126.84448286743388	139.03301690365117	121.05780174267755	136.0500961657687	116.75855286981167	127.73601200466105	108.22732606673495	119.1338083384382	94.08930302751227	68.93348978663518	88.02946822570055	117.918035565769	91.45145507039324	81.69830638289437	68.33909184226745	65.93087246017933	48.384305492346925	48.566310453958884	46.167642065597846	60.281965842398805	59.787898204211054	39.95709659242398	45.14726984977993	14.699365633689823
1500	-164.06799130766612	-170.8173319912916	6.749340683625494	1.0	0.028067526859146204	72.43846421629613	72.25958435985918	75.10533153843886	59.5519627240563	61.734296776923344	83.20499716811221	90.5253466540783	75.75793637039307	86.5656784179588	91.44539490015593	104.86487572002346	108.66568101099249	101.42824455251933	128.63245640261485	107.67908203243955	90.22168198534813	102.27497473040859	91.44970521252364	88.11565479938349	155.04563007068825	153.79567257686702	149.68270105857943	153.2081040075118	156.78592869066944	157.0503089431973	148.38662370967197	134.42508416729396	91.77331194180255	114.80877244279966	136.90212548546538	128.12318258753055	130.69967774765922	117.14867682517577	139.3385997474319	118.61053644240157	120.02388809186951	85.5434657851229	74.88577663488823	85.72604632547254	115.45038335632526	95.56031798042791	63.00367931118575	64.63923834695407	52.47966730480069	52.44324652833741	46.761835330449074	48.7031658086356	46.87084149134894	46.502373728251115	36.57267974681908	33.182298277695025	11.073390209425055
2000	-153.641065451661	-165.16729417479115	11.526228723130133	1.0	0.02341506767961284	55.66735674624811	54.90942179387352	56.884929701566264	66.63357132805596	82.33542282928809	79.70752892733611	88.03815111892737	88.63130816543507	81.62367702389429	90.84649433479673	96.35710147322123	103.08278437173527	93.61918284543015	122.13061424989961	110.09384951732316	115.83824515189453	102.09132719437798	84.42377672804551	84.7349881826197	151.60122755945736	158.3604709351239	161.69847095742173	157.35745029409125	148.6867391708018	168.7247974973962	143.0221813892398	135.81396336096122	86.8454083939248	115.66416190329252	131.79137049884133	124.86114367751695	133.99294501153472	131.3773691127983	129.96577351835498	123.26195987958673	119.34239938367674	92.55167236583492	84.99013186835505	91.95948509997719	116.33731301836312	89.32517857020409	63.61089664862578	74.21771961495833	55.663698590693755	55.53161450273544	43.713433948783134	45.688885325014354	41.85502067451323	42.694959808373895	36.57148489367643	34.75656360763945	13.440083156093545
2500	-159.1303111945958	-173.4130630250964	14.282751830500574	1.0	0.018831252087357052	65.27366429681373	65.29840492332892	68.58671683796626	70.52166075692804	88.69916019096291	83.13965268188542	89.23075279768821	73.67649241150647	84.66912357877534	90.16738001186178	100.91601489665565	102.58778395659922	99.80718417770792	124.92076975379044	106.26155626369584	103.35155710087449	102.92683813999419	85.83631849003794	83.90130512465979	158.08151012120618	163.9682740074441	178.095854369599	177.18063487001035	139.6222601931345	161.5476577639931	143.24393901402823	132.19414146181938	109.32735546068675	115.4239924490723	142.47183981863935	125.82132521748599	131.55438397949314	133.3354329705507	145.41040909160293	126.93251275333063	126.37817460114837	94.80392124906245	84.22547532250697	96.58085802577989	115.94177659587422	102.92683386082493	76.07409470890202	82.86799150477307	46.66168466268682	52.82122724754862	43.422995042578265	39.33625960896659	41.02017624931622	42.70514641720988	34.32635262692028	43.7192184443793	17.97894594985572
3000	-147.44992265448235	-171.24846844403422	23.798545789551866	1.0	0.014667702772693102	64.51598815072026	64.0623130204932	66.087034970481	69.47568980883068	72.14683591748754	83.90648066293214	86.43467771412787	84.52006971168925	101.20820550167912	98.95026697529755	99.35027762553328	108.23536975399203	103.12877430344216	121.58994837829046	109.65293144465984	96.89970866905826	99.56373643983706	89.88982839415806	89.95369181378732	152.77250397586937	164.57613961033667	159.7828365939453	168.27832665625692	148.48405496974618	158.93939196277776	152.50108124405003	130.69892425036454	107.42367499356133	117.86695829974104	131.11560932787012	126.54902958612038	127.84654915559642	118.83719394771508	141.13970343000648	123.70266977611297	124.7213937051199	85.91285514297473	85.72205147704763	104.69276934304048	123.02833593174086	96.25627621191634	84.39491318631423	84.41412927652927	61.359494410411926	53.00588027746826	40.56903552117633	40.87905184905	50.03858219117136	51.65109970697891	39.99007401452931	36.57564156990784	17.253565269071274
3500	-141.87121754498895	-163.68679786562268	21.81558032063372	1.0	0.014162523510642656	60.70543679911181	61.25817814698962	58.27861052735855	66.79863375467278	72.72192918216885	78.60418521209019	84.02859245245861	88.78442956700218	91.19366071756131	92.46960332924398	102.41854435848548	103.73754856888485	96.6671254374664	124.93733414329373	110.5687577694469	101.33657279479166	104.97312093190499	84.73331414081255	95.46231277085916	153.999539551065	143.46600716694428	155.42653393339987	166.1708313422773	146.0389873366812	167.09353858621432	156.8326434109404	131.16111728478606	117.71297910094871	108.41743362552707	134.5328495992078	122.55064108926794	132.01747381834954	119.19271671086742	142.26178692210107	120.97191672660749	122.10044926588347	94.00937024691785	89.65776757373598	90.5029547184174	113.24049184759451	90.01006749982338	79.35190718635346	85.43222353324434	55.78614908022992	56.75891213381678	48.86909364559947	44.76619199923811	47.7063113687758	46.397984304057765	31.20435417674865	29.247549408123604	14.899087798568617
4000	-148.2141971936779	-162.97942225362792	14.765225059950005	1.0	0.014473223324411621	57.5104279617258	58.63218185397231	60.16124935133604	58.138709768225816	70.36082001543433	84.94282515164593	87.94790878122599	80.0187703286597	93.07218556348366	88.38832472076231	100.54785925392805	100.0223395213739	92.65276448485281	129.3536152369937	108.23179501197119	86.20229511414398	94.71309550926071	86.94811131631383	86.9172549539066	157.77181124120904	150.06124779904698	157.55542871988845	161.32191134452304	149.73329706323594	162.5537181104949	144.9727824148068	138.18214294152565	115.42394979738745	125.26538999245753	135.6983881973086	132.13944000114859	130.4021289234694	120.61877303168468	132.59437738690107	119.12615541645035	120.56012171559453	84.04627367369048	80.38447371384116	87.29901119310902	110.80033113681107	98.27140184685823	75.5851044122501	78.29705916681174	59.362826856728795	59.517502723197055	49.94538531526918	50.8424978846828	33.74557456196081	39.9788356337967	32.983228284340626	30.741764521782503	16.297275896909383
4500	-147.20892129639736	-163.4977090611866	16.288787764789255	1.0	0.011152279025106272	64.59949407274124	65.58689788519965	65.07622892467433	80.20754053642494	70.82724157621556	83.71997693504876	92.37399872836333	81.35754566825517	80.94114885562136	87.83871853702095	94.65302421684137	96.77748935447102	97.24257792085572	127.7572479641505	114.6433478051071	94.56911193802775	95.17353240824994	82.64481317938484	83.45778627662848	158.76775729564463	143.60510125531317	149.75800054696688	177.70229542098568	162.05427640657513	165.69616460455728	152.794722267034	128.98020963729533	102.92526289466261	116.3527826899938	124.10998488022267	128.8873372199019	130.60688845236848	123.73105116330792	132.4047352434557	118.15014521187352	118.33073393546478	85.62476247680624	83.88181717547491	89.86343033687747	109.3696666340195	95.99673934410828	65.85291527056947	84.5559952024823	52.06436481725676	52.98038079043243	45.5423249643461	38.29290333902668	44.48938990410551	41.52492678167789	36.01882757420542	31.835868266437437	17.936249779355613
5000	-150.16393461330736	-165.91249288797923	15.748558274671861	1.0	0.015872805257793447	64.90415926383483	63.93094560003644	61.684433710437865	72.73781101209906	66.06028526965136	78.41234367798977	90.41513481076116	85.49427873872534	81.77242613837109	88.18334332395438	104.13866684341447	100.16018718984571	99.28747469771925	123.02183429619795	112.71983615665772	98.24077656649021	97.54689214386195	78.35673323821732	86.8877209802109	149.74112196208307	149.04830920588572	161.08284333037093	161.1660953122963	152.89620568947117	181.35836078260382	156.65818888770792	143.11729218897855	101.68867739952333	121.67071873655537	133.11671999471324	124.07490362225494	144.41491612507247	121.26068175543521	132.7936376776799	124.82029606366231	123.56724123407133	91.7454953529022	75.87062252212502	96.76628298834524	112.4867778690691	88.2001735288602	72.66511523572778	82.46515740857542	50.55303045653976	48.90868659836015	37.360846557204795	36.70421210233623	52.3071208816086	54.002172177572774	56.34392720044052	34.36948711197877	18.44672949613245
