"","stg","mid_age","divRT","divBC","divSIB"
"70",70,140.4,NA,NA,NA
"71",71,135.15,NA,NA,NA
"72",72,129.55,24,NA,24
"73",73,123.95,10,10,0
"74",74,117.3,10,10,0
"75",75,106.85,10,10,0
"76",76,97.2,10,10,0
"77",77,91.645,155,10,154
"78",78,87.545,27,26,7
"79",79,84.675,21,21,0
"80",80,77.91,21,21,0
"81",81,69.105,21,21,0
"82",82,63.85,25,21,6
"83",83,58.83,49,21,30
"84",84,52.035,82,33,58
"85",85,44.55,244,71,240
"86",86,39.37,76,76,0
"87",87,35.805,76,76,3
"88",88,30.595,164,76,139
"89",89,25.165,107,107,0
"90",90,19.515,178,107,142
"91",91,13.81,220,153,185
"92",92,8.48,251,154,245
"93",93,3.96,66,65,22
"94",94,1.30085,79,52,79
