n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_species_area_6,n_species_area_7,n_species_area_8,n_species_area_9,n_species_area_10,n_species_area_11,n_species_area_12,n_species_area_13,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_occs_area_6,n_occs_area_7,n_occs_area_8,n_occs_area_9,n_occs_area_10,n_occs_area_11,n_occs_area_12,n_occs_area_13,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,n_locs_area_6,n_locs_area_7,n_locs_area_8,n_locs_area_9,n_locs_area_10,n_locs_area_11,n_locs_area_12,n_locs_area_13,present_diversity
39.05,251.44,0.0,3.0,0.0041999999999999945,39.05,70.14,0.0,11.01,0.0,2.01,0.0,38.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07,0.0,2.01,0.0,229.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,0.0,2.01,0.0,59.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0
0.31,0.31,0.0,0.0,0.004000000000000003,39.15,0.08,0.0,0.0,0.01,0.07,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.59,0.0,0.0,0.0035000000000000027,39.28,0.09,0.0,0.07,0.0,0.01,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,7.99,0.0,0.0,0.11430000000000005,40.84,2.21,0.0,0.65,0.2,0.47,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.22,0.47,0.0,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.22,0.17,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.77,50.01,0.0,0.0,0.6550000000000007,47.4,13.87,0.0,5.03,0.93,3.09,0.0,19.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,1.71,3.09,0.0,39.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.71,0.99,0.0,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.17,84.27,0.0,0.0,1.0190000000000012,54.2,37.55,0.0,2.91,1.0,12.46,0.0,25.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,11.37,16.27,0.0,53.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,11.37,6.83,0.0,18.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.4,256.03,0.17,1.98,0.7800000000000008,68.84,68.61,0.0,29.09,1.65,26.27,1.23,34.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.33,4.01,43.81,1.24,102.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02,3.84,15.19,0.19,35.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.78,388.86,0.99,3.97,1.0199999999999994,84.41,101.36,0.0,30.73,1.54,41.57,3.36,43.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.07,1.77,92.15,3.41,174.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55,1.44,23.88,0.56,59.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.9,589.62,2.0,4.14,1.733000000000002,97.24,144.77,0.0,40.0,3.0,52.62,7.31,51.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.74,3.47,138.12,9.31,276.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.19,1.62,32.91,2.84,82.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.81,478.17,1.04,3.86,1.913000000000002,103.54,92.58,0.0,40.39,6.2,0.0,19.42,55.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.68,6.47,0.0,43.56,333.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.42,0.97,0.0,11.06,69.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
