it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.069	t_0.454	t_1.29	t_2.19	t_3.09	t_4.466	t_6.29	t_7.437	t_9.629	t_12.725	t_14.538	t_15.613	t_18.205	t_21.662	t_22.957	t_25.565	t_29.306	t_32.206	t_35.85	t_37.97	t_39.67	t_43.484	t_46.784	t_50.598	t_54.698	t_57.6	t_60.112	t_61.312	t_63.8	t_67.326	t_70.376	t_74.19	t_79.94	t_83.754	t_85.104	t_88.05	t_90.668	t_92.718	t_96.532	t_99.832	t_103.646	t_109.896	t_113.71	t_118.233	t_123.524	t_127.2	t_129.538	t_131.288	t_135.102	t_138.552	t_142.365
0	-2725.6866958957157	-2599.5075388187374	-126.17915707697844	1.0	8.656750285610311	231.9874572109842	220.38220622342334	231.85000508907083	219.0	219.0	219.0	219.0	219.0	210.92677081327741	219.0	219.0	219.0	228.88552765342237	219.0	219.5429048474404	219.0	219.0	219.0	219.0	219.0	217.9312975378682	219.0	219.0	215.34555472683968	219.026880017085	222.56096597958853	222.058403059837	224.14070061118443	219.0	219.0	219.0	219.0	219.20416518100262	219.0	218.6708470108101	219.0	219.0	219.0	209.47035922282336	214.52215517638248	219.0	219.0	220.86435774061857	219.0	222.69577915988472	238.07003843394796	219.0	209.67014180299282	211.762404655292	219.0	219.0	219.0
500	-563.6464758468275	-488.21431307661754	-75.43216277020991	1.0	0.46622974409365303	198.45231163026116	119.661932732411	125.75976423169944	162.34591239919135	177.09134242880057	151.93646326973033	173.3942804933114	183.37393667284783	177.86258662004445	187.18118992996096	217.81545498439257	182.44479529525088	190.8246004316673	217.5653160495823	191.20917276869986	168.03926589662433	182.99619507365122	123.68846436382827	126.00357565564863	236.59462652802478	115.14977984365022	265.80795307349695	219.0535823187148	196.64799570108806	219.13912237645553	256.1285291279571	205.13241006758648	137.77504369222146	148.95952387755247	167.6390135139549	214.88980583150442	209.58355197152588	181.97593734469797	231.04867127750606	114.81821217166167	186.21999231370606	121.27376435762658	128.21389612192803	118.50292816734579	202.1031009703537	148.60943122787242	105.91143770778257	101.96463615122107	75.49219511748626	75.10144800682323	64.9965292237141	37.363455607192606	73.31392178759164	41.43243461176047	43.80899314954118	168.1473032493187	16.268713034360538
1000	-250.54084606593295	-224.31923571723132	-26.22161034870164	1.0	0.0808790606202043	107.50039598823409	106.44238877317602	111.18219612874985	117.93370069987739	129.05455862757867	126.41628102889126	160.41922113277985	162.80112917948645	137.80641582704885	178.39763982091043	186.65776776623403	174.82874899171162	131.0869598063389	214.63782644687555	176.9050683107402	192.5421585902133	182.64984629357974	89.87625172603425	102.0595510299515	229.8298629260421	258.52303434945213	249.87554203710823	243.18308958441042	196.00944787452767	220.72932237811162	241.881000606648	217.61092581160665	122.67700858795236	112.9563553431375	162.2336647206776	182.12360352486365	211.98744088773836	174.30464835786816	238.51771171673278	92.58401518534004	149.30890993175584	96.04220365328912	120.92056732676153	101.02711485094241	181.22234446376277	144.85134472661852	84.65103511149277	83.31057299134491	42.99330870177795	41.438944951798106	26.75232385227572	31.324884073567695	23.169815521881507	29.753331575053235	38.00991824353973	62.20265301126001	10.30427653002814
1500	-222.14692520145036	-197.5837271874223	-24.56319801402806	1.0	0.08288736242363554	99.46905862416892	98.02758412885953	100.91794931614191	83.17666324339828	94.40393437678921	116.53057770875132	157.5087717184639	160.93217435095477	118.26339025915212	171.38481699269227	191.14065092090848	179.549108257363	149.8144942884982	207.44654044211967	167.83854565707352	145.35409213597637	175.83011224052314	103.16141340851897	98.05376058077363	245.14867908700245	258.462194344658	249.04809161541152	262.21910447658206	180.48659418931783	227.51992949907577	239.58493361092349	185.96868224981068	114.90533206547408	129.62670747821653	168.3986442189775	198.51274399395078	201.12106356918855	179.59594834562458	241.3608658868429	131.21243770080412	152.5375492313167	98.38442595625435	111.81164563388728	106.25992719285898	172.52117403256935	137.30916630502568	93.58122973587264	84.4817802241613	28.553587817585537	40.19287168932705	23.095299184959025	25.783118746299223	15.251289232212944	21.160862507323685	40.11893789392106	44.62239942587127	8.019981413356403
2000	-196.9850816372852	-169.4077086021235	-27.5773730351617	1.0	0.0983328055637644	94.99343132782582	93.92661510233299	94.74273652879455	91.83994126660059	88.59368642831575	125.50496333637909	165.750516061179	145.46584018463756	147.5399787347797	174.00817843668472	187.3978304099652	167.87383538764192	145.12094750210167	209.86231180168693	168.08211461100052	177.01088669828766	177.39185287783607	90.99023552249417	101.10812322429388	217.91880902192318	206.38567192303054	252.22352846220613	254.83231885249094	198.33559974072182	276.4598926267991	234.21342905394562	197.58272145845757	116.8314103722258	117.96149031996842	158.31060281912005	183.88241456962174	219.42052544533666	177.45125339441137	238.08696195760427	128.10807448942586	152.89360276197598	100.15599844013258	105.01570478902835	100.99867942599126	173.60024632665025	130.14116725651638	82.57136084017561	83.19257869768485	37.1782059676066	37.90061619987571	23.542924825900812	25.607717748967044	13.191858377125063	18.444846280803752	27.898611580195485	45.09930861673992	4.4069127503008945
2500	-195.08610307216048	-167.37127657224912	-27.714826499911357	1.0	0.10472415143841458	93.49693819328286	94.0084284220653	106.58687824350997	89.25847610590594	99.34464553931078	130.35925524175835	154.56251452826461	151.90659866575407	124.59672912681738	164.3286593162775	204.26453394093272	170.70168129601893	146.9441745279678	219.81450694796325	189.23733239387434	168.97971468717424	194.1761712463723	95.34108469608483	106.73582157756891	250.27836636642684	228.65860279845847	273.9539690224906	241.78870019751787	202.9171963760844	269.4742350809804	263.0150839262641	206.77425818451167	109.51654370164155	98.62307914426374	161.62873971467525	199.40021845970733	210.3708688923187	178.0896143855779	231.41427622303928	117.98325256760216	154.2400162885583	89.67103650067556	100.98823994610181	109.20287860109863	169.7037213895075	137.372525470631	85.73392663821262	86.62319240424779	45.98091545091855	43.77817003382524	20.667158574136273	28.123531924187745	18.040614429842496	17.90692080474873	35.43684126146541	39.38335467632497	5.128155479084111
3000	-199.07091739637463	-168.55619008831866	-30.51472730805596	1.0	0.10758888837437966	94.26963465293203	91.40609778647567	94.54396122644269	89.89295337365368	94.30147337193358	122.85996835070651	165.42316750443015	151.08225958402582	122.38676070950926	169.73833844610093	206.4917948068899	166.30117653872097	134.11780929234752	216.26064675864745	184.63665458073052	150.90886092836587	174.55289121320726	102.52846623055504	95.76715834242637	232.93601081147136	224.4059208920459	248.8476349821816	251.17534026683342	187.45452715508827	266.4105376497303	233.3951122314494	215.21401005348847	151.55153086701011	99.75315590526631	162.8751152606686	182.27435629491134	198.14824087304666	194.41102630224609	223.61797229591915	116.2999984169686	156.67423062862616	97.6907994040396	97.61531554163254	111.97258407696513	174.11294862189092	130.9616590854273	80.37178785233054	79.56143771128576	49.024005276645006	38.73044909829841	26.261339557031693	33.871141116076984	14.046191785514932	20.958299068718144	34.95030205934876	26.253339328482596	3.7223907043118127
3500	-188.82518245421292	-159.38700724495453	-29.43817520925838	1.0	0.10739635805508127	100.82821845125933	97.80518553047806	98.6041886625866	81.78717204054902	76.80930230828946	115.75851334291968	156.8965120386805	172.10549805455545	122.15877128118798	166.85631310061729	183.6126214666329	167.11543708103594	126.78781841586542	208.0670190620187	175.6376642915987	176.59517602437774	169.59346273654	90.59907118707758	97.9768498928089	225.2920552562198	261.2879848957332	265.7843702632942	244.8102564418981	214.50187144159648	271.65456637727686	242.383283607427	200.00143812472186	121.29657546088576	125.517157069908	161.1379521814132	185.93829248339375	201.247050809847	184.99003087032682	223.34329333019204	117.60994842151314	144.20043217368794	86.15638695147416	102.68743934475114	103.56226347849613	185.4415227884602	134.77598370575313	81.1546994083971	81.27297991967839	35.48865882859472	44.15312272192636	20.151337926371824	33.31141715395624	18.714785305908606	20.701793988760773	30.468936526528587	28.179365193734533	2.6543233431130657
4000	-196.54858647514413	-163.78462501726176	-32.76396145788239	1.0	0.09402561763497855	95.64058319665396	94.88956414183622	102.15628725571662	86.15645699992157	79.17781435445625	120.05031995802474	159.04065139739794	162.7181692897441	127.85924593063314	177.93506174959293	202.0813953826625	164.21632881867265	142.2089043154417	218.37945242787185	178.47199817609533	174.063420316278	194.24040982145357	92.81851661623406	95.42724871021635	235.7811497797795	271.59000153972886	266.2613521937899	263.4293248351453	232.3533168854696	271.2680028284176	241.86570458806733	219.40594232291068	138.64105767306944	152.47118226880542	188.0439933017406	189.75328549921585	210.67700476879574	183.68722879644145	238.4423504474675	94.9357771241535	149.63269693991833	100.22615189839125	118.25283180749295	109.91688574421414	179.69795640475667	129.21424827048014	83.12679281424911	83.72518537476557	20.64000034246949	41.57494427307479	19.380255138933837	38.47367854870062	16.26725218563639	16.92218184260713	32.96425152296783	27.222342010787038	3.4219368259843512
4500	-187.63639050264277	-166.12975365356309	-21.50663684907969	1.0	0.08498470900769105	109.89625893605678	106.95981064119599	104.28472402658859	98.27327584145384	96.6501269746949	134.50574606931588	155.4241609594468	160.29302202210215	140.47224087880636	170.2875013991204	205.94511420347303	169.97493436527287	146.0302973607392	216.23288486228273	186.7100518896085	176.67519843891287	176.19999795009528	82.90623106917602	100.68489302423903	248.69320125811723	216.7972182095562	251.63491736946915	254.08927375150932	195.12605489403848	264.30448870758386	237.80705488893886	201.49289037129012	116.15562769079524	143.29176292158343	165.0542460632967	186.33810007741988	211.12321810995624	191.9125520515116	232.73418816737964	104.86395764332008	137.7339672913006	98.25106405421168	93.94695386995257	105.09017037872476	181.08664319524155	134.43350488801116	91.14580020888476	79.29702442850054	33.571493432079365	36.59425234983451	21.5627051334124	32.760411272853524	15.543620152051686	18.488837722144524	27.22641512045567	27.49203480770384	4.627016270916088
